major_id,career_type_id
1,11
2,5
3,7
4,10
5,11
6,7
7,3
8,3
9,3
9,7
10,11
11,5
12,11
13,6
14,10
15,10
15,11
16,4
17,7
18,8
19,4
20,7
21,8
22,2
23,2
23,5
24,2
25,2
26,2
26,5
27,2
27,13
28,2
28,12
29,2
30,2
30,12
31,2
32,4
33,3
34,3
35,3
36,3
37,11
38,8
39,8
40,4
41,4
41,12
42,4
43,4
44,4
45,9
46,9
47,3
47,9
48,3
48,9
49,3
49,9
50,9
51,14
52,7
53,3
54,3
55,3
55,4
56,7
57,4
58,11
59,8
59,11
60,4
61,7
62,11
63,5
64,2
64,12
65,7
66,10
67,7
68,3
69,3
70,3
70,12
71,3
72,3
72,7
73,11
74,3
75,7
76,2
77,6
78,10
79,4
80,3
81,3
82,8
83,4
84,3
85,7
86,8
87,2
88,2
88,5
89,2
89,12
90,2
91,2
91,5
92,2
92,12
93,4
94,8
95,8
96,1
96,2
97,1
97,2
98,11
99,11
100,1
100,2
101,1
101,2
102,3
103,4
104,4
104,12
105,4
106,4
107,9
108,3
108,4
108,9
109,9
110,3
110,9
111,3
111,9
112,3
112,9
113,3
113,9
114,9
115,9
116,14
117,7
118,3
118,9
119,3
120,3
120,4
121,7
122,8
123,4
124,7
125,3
125,5
125,7
126,12
127,7
128,10
129,11
130,3
131,5
132,5
133,7
134,7
135,2
136,3
137,3
137,12
138,3
139,3
140,6
141,9
142,9
143,9
144,4
145,4
146,3
147,7
148,13
149,2
150,2
151,2
152,2
152,12
153,2
154,2
154,13
155,2
156,2
157,1
157,2
157,14
158,2
159,1
159,2
160,2
160,3
161,2
162,2
163,2
163,3
164,2
165,2
165,5
166,2
167,2
168,2
168,12
169,2
169,3
170,2
170,12
171,2
172,4
173,8
174,3
175,3
176,4
177,4
177,12
178,4
179,4
180,4
181,9
181,11
182,3
182,9
183,3
183,9
184,3
184,9
185,3
185,9
186,3
186,9
187,9
187,11
188,9
189,8
189,9
190,7
190,8
190,9
191,9
192,3
192,9
193,14
194,7
195,3
195,4
196,7
197,7
198,11
199,7
200,7
201,8
202,5
203,12
204,11
205,10
206,7
207,2
208,3
209,5
210,6
211,7
212,10
213,9
214,11
215,7
216,11
217,2
218,2
218,3
219,2
219,13
220,2
221,2
222,1
222,2
223,2
224,1
224,2
224,14
225,2
226,2
227,1
227,2
228,2
229,2
230,2
230,3
231,2
231,5
232,2
233,2
234,2
235,1
235,2
236,2
237,8
238,4
239,7
240,3
241,11
242,8
243,3
244,8
245,8
246,3
247,3
247,12
248,3
248,9
249,9
249,14
250,9
251,9
252,3
252,9
253,8
253,9
254,3
254,9
255,7
255,8
255,9
256,9
257,3
257,9
258,9
258,11
259,3
259,9
260,14
261,11
262,7
263,14
264,3
265,3
265,4
266,7
267,7
268,10
269,2
270,2
271,2
272,2
272,13
273,2
274,2
275,2
276,2
276,3
277,2
278,1
278,2
279,2
279,3
280,2
281,2
282,2
283,2
283,3
284,2
285,2
285,5
286,2
287,2
288,2
288,10
289,2
289,10
290,1
290,2
291,2
292,2
293,3
294,3
295,5
296,1
297,5
298,10
299,1
299,3
300,7
301,3
302,5
303,6
304,10
304,14
305,10
306,4
307,5
308,2
309,2
310,2
311,2
312,2
313,1
313,2
314,2
315,2
315,13
316,2
316,13
317,2
318,2
318,3
319,2
320,2
321,2
322,2
323,2
323,5
324,2
325,2
326,1
326,2
327,2
328,2
329,2
329,13
330,2
330,13
331,2
331,3
332,2
333,2
333,5
334,2
334,3
335,2
335,3
336,2
336,3
337,4
338,3
339,3
339,4
340,7
341,8
342,8
343,4
344,4
345,9
346,3
346,9
347,9
348,8
348,9
349,3
349,9
350,8
350,9
351,9
352,1
352,3
352,9
