major_id,uni_id,name
1,1,ACTUACIÓN TEATRAL
2,1,ADMINISTRACIÓN PÚBLICA
3,1,ANTROPOLOGÍA - ARQUEOLOGÍA
4,1,ARQUITECTURA
5,1,ARTES VISUALES
6,1,"BACHILLERATO, PROGRAMA ACADÉMICO DE"
7,1,BIOLOGÍA CON MENCIÓN EN MEDIO AMBIENTE
8,1,BIOQUÍMICA
9,1,CIENCIA POLÍTICA
10,1,CINE Y TELEVISIÓN
11,1,CONTADOR AUDITOR
12,1,DANZA
13,1,DERECHO
14,1,DISEÑO
15,1,DISEÑO TEATRAL
16,1,ENFERMERÍA
17,1,ESTUDIOS INTERNACIONALES
18,1,"FILOSOFÍA, LICENCIATURA EN"
19,1,FONOAUDIOLOGÍA
20,1,GEOGRAFÍA
21,1,"HISTORIA, LICENCIATURA EN"
22,1,INGENIERÍA AGRONÓMICA
23,1,INGENIERÍA COMERCIAL
24,1,INGENIERÍA EN ALIMENTOS
25,1,INGENIERÍA EN BIOTECNOLOGÍA MOLECULAR
26,1,INGENIERÍA EN INFORMACIÓN Y CONTROL DE GESTIÓN
27,1,INGENIERÍA EN RECURSOS HÍDRICOS
28,1,INGENIERÍA EN RECURSOS NATURALES RENOVABLES
29,1,INGENIERÍA EN SONIDO
30,1,INGENIERÍA FORESTAL
31,1,INGENIERÍA Y CIENCIAS - PLAN COMÚN
32,1,KINESIOLOGÍA
33,1,LIC. EN CIENCIAS CON MENCIÓN EN BIOLOGÍA
34,1,LIC. EN CIENCIAS CON MENCIÓN EN FÍSICA
35,1,LIC. EN CIENCIAS CON MENCIÓN EN MATEMÁTICAS
36,1,LIC. EN CIENCIAS CON MENCIÓN EN QUÍMICA
37,1,LICENCIADO/A EN ARTES CON MENCIÓN EN COMPOSICIÓN
38,1,"LINGÜÍSTICA Y LITERATURA INGLÉSAS, LICENCIATURA EN"
39,1,"LINGÜÍSTICA Y LITERATURA, LICENCIATURA EN"
40,1,MEDICINA
41,1,MEDICINA VETERINARIA
42,1,NUTRICIÓN Y DIETÉTICA
43,1,OBSTETRICIA Y PUERICULTURA
44,1,ODONTOLOGÍA
45,1,PEDAGOGÍA EN EDUCACIÓN BÁSICA
46,1,PEDAGOGÍA EN EDUCACIÓN ESPECIAL
47,1,PEDAGOGÍA EN EDUCACIÓN FÍSICA
48,1,PEDAGOGÍA EN EDUCACIÓN MEDIA EN BIOLOGÍA Y QUÍMICA
49,1,PEDAGOGÍA EN EDUCACIÓN MEDIA EN MATEMÁTICA Y FÍSICA
50,1,PEDAGOGÍA EN EDUCACIÓN PARVULARIA
51,1,PERIODISMO
52,1,PSICOLOGÍA
53,1,QUÍMICA
54,1,QUÍMICA AMBIENTAL
55,1,QUÍMICA Y FARMACIA
56,1,SOCIOLOGÍA
57,1,TECNOLOGÍA MÉDICA
58,1,TEORÍA DE LA MÚSICA
59,1,"TEORÍA E HISTORIA DEL ARTE, LIC. EN ARTES CON MENCIÓN EN"
60,1,TERAPIA OCUPACIONAL
61,1,TRABAJO SOCIAL
62,2,ACTUACIÓN
63,2,ADMINISTRACIÓN PÚBLICA
64,2,AGRONOMÍA E INGENIERÍA FORESTAL
65,2,ANTROPOLOGÍA-ARQUEOLOGÍA
66,2,ARQUITECTURA
67,2,ARTE
68,2,ASTRONOMÍA
69,2,BIOLOGÍA
70,2,BIOLOGÍA MARINA
71,2,BIOQUÍMICA
72,2,CIENCIA POLÍTICA
73,2,COLLEGE ARTES Y HUMANIDADES
74,2,COLLEGE CIENCIAS NATURALES Y MATEMÁTICAS
75,2,COLLEGE CIENCIAS SOCIALES
76,2,CONSTRUCCIÓN CIVIL
77,2,DERECHO
78,2,DISEÑO
79,2,ENFERMERÍA
80,2,ESTADÍSTICA
