requirement_id,major_id,year,puntajes,corte
1,1,2023,"{""NEM"":10,""ranking"":10,""c_lectora"":10,""M1"":10,""historia"":10,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":50,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",589
2,1,2024,"{""NEM"":10,""ranking"":10,""c_lectora"":10,""M1"":10,""historia"":10,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":50,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",593
3,1,2025,"{""NEM"":10,""ranking"":10,""c_lectora"":10,""M1"":10,""historia"":10,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":50,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",602
4,1,2026,"{""NEM"":10,""ranking"":10,""c_lectora"":10,""M1"":10,""historia"":10,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":50,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",596
5,2,2023,"{""NEM"":10,""ranking"":30,""c_lectora"":20,""M1"":20,""historia"":20,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",651
6,2,2024,"{""NEM"":10,""ranking"":30,""c_lectora"":20,""M1"":20,""historia"":20,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",658
7,2,2025,"{""NEM"":10,""ranking"":30,""c_lectora"":20,""M1"":20,""historia"":20,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",666
8,2,2026,"{""NEM"":10,""ranking"":30,""c_lectora"":20,""M1"":20,""historia"":20,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",660
9,3,2023,"{""NEM"":20,""ranking"":20,""c_lectora"":20,""M1"":15,""historia"":25,""ciencias"":25,""M2"":0,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",634
10,3,2024,"{""NEM"":20,""ranking"":20,""c_lectora"":20,""M1"":15,""historia"":25,""ciencias"":25,""M2"":0,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",641
11,3,2025,"{""NEM"":20,""ranking"":20,""c_lectora"":20,""M1"":15,""historia"":25,""ciencias"":25,""M2"":0,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",647
12,3,2026,"{""NEM"":20,""ranking"":20,""c_lectora"":20,""M1"":15,""historia"":25,""ciencias"":25,""M2"":0,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",648
13,4,2023,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":30,""historia"":10,""ciencias"":10,""M2"":10,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",722
14,4,2024,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":30,""historia"":10,""ciencias"":10,""M2"":10,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",725
15,4,2025,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":30,""historia"":10,""ciencias"":10,""M2"":10,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",735
16,4,2026,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":30,""historia"":10,""ciencias"":10,""M2"":10,""electiva_alternativa"":true,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",734
17,5,2023,"{""NEM"":10,""ranking"":20,""c_lectora"":35,""M1"":10,""historia"":25,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",582
18,5,2024,"{""NEM"":10,""ranking"":20,""c_lectora"":35,""M1"":10,""historia"":25,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",587
19,5,2025,"{""NEM"":10,""ranking"":20,""c_lectora"":35,""M1"":10,""historia"":25,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",592
20,5,2026,"{""NEM"":10,""ranking"":20,""c_lectora"":35,""M1"":10,""historia"":25,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",591
21,6,2023,"{""NEM"":20,""ranking"":20,""c_lectora"":25,""M1"":25,""historia"":10,""ciencias"":10,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",680
22,6,2024,"{""NEM"":20,""ranking"":20,""c_lectora"":25,""M1"":25,""historia"":10,""ciencias"":10,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",683
23,6,2025,"{""NEM"":20,""ranking"":20,""c_lectora"":25,""M1"":25,""historia"":10,""ciencias"":10,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",687
24,6,2026,"{""NEM"":20,""ranking"":20,""c_lectora"":25,""M1"":25,""historia"":10,""ciencias"":10,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",688
25,7,2023,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":10,""historia"":0,""ciencias"":25,""M2"":15,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",644
26,7,2024,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":10,""historia"":0,""ciencias"":25,""M2"":15,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",649
27,7,2025,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":10,""historia"":0,""ciencias"":25,""M2"":15,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",660
28,7,2026,"{""NEM"":10,""ranking"":20,""c_lectora"":20,""M1"":10,""historia"":0,""ciencias"":25,""M2"":15,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",658
29,8,2023,"{""NEM"":10,""ranking"":20,""c_lectora"":10,""M1"":20,""historia"":0,""ciencias"":30,""M2"":10,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",640
30,8,2024,"{""NEM"":10,""ranking"":20,""c_lectora"":10,""M1"":20,""historia"":0,""ciencias"":30,""M2"":10,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",648
31,8,2025,"{""NEM"":10,""ranking"":20,""c_lectora"":10,""M1"":20,""historia"":0,""ciencias"":30,""M2"":10,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",657
32,8,2026,"{""NEM"":10,""ranking"":20,""c_lectora"":10,""M1"":20,""historia"":0,""ciencias"":30,""M2"":10,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",652
33,9,2023,"{""NEM"":10,""ranking"":30,""c_lectora"":20,""M1"":20,""historia"":20,""ciencias"":0,""M2"":0,""electiva_alternativa"":false,""prueba_especial"":0,""min_ponderado_postulacion"":0,""min_promedio_CL_M1"":458,""fuente_ponderacion"":""Oferta Definitiva de Carreras 2026 (DEMRE/MINEDUC)""}",652
