uni_id,name
1,Universidad de Chile
2,Pontificia Universidad Católica de Chile
3,Universidad de Concepción
4,Pontificia Universidad Católica de Valparaíso
5,Universidad Técnica Federico Santa María
6,Universidad de Santiago de Chile
7,Universidad Austral de Chile
8,Universidad Católica del Norte
9,Universidad de Valparaíso
10,Universidad de Antofagasta
11,Universidad de La Serena
12,Universidad del Bío-Bío
13,Universidad de La Frontera
14,Universidad de Magallanes
15,Universidad de Talca
16,Universidad de Atacama
17,Universidad de Tarapacá
18,Universidad Arturo Prat
19,Universidad Metropolitana de Ciencias de la Educación
20,Universidad de Playa Ancha de Ciencias de la Educación
21,Universidad Tecnológica Metropolitana
22,Universidad de Los Lagos
23,Universidad Católica del Maule
24,Universidad Católica de la Santísima Concepción
25,Universidad Católica de Temuco
26,Universidad de O'Higgins
27,Universidad de Aysén
28,Universidad Diego Portales
29,Universidad Alberto Hurtado
30,Universidad de Los Andes
